fuel_type,manufacturing_year,vehicle_age,pricein_lakhs
Petrol,2019.0,6.0,6.87
Diesel,2020.0,5.0,98.5
Diesel,2022.0,3.0,56.75
Petrol,2015.0,10.0,3.18
Petrol,2022.0,3.0,18.75
Diesel,2018.0,7.0,39.0
Petrol,2011.0,14.0,2.26
Petrol,2021.0,4.0,44.5
Petrol,2022.0,3.0,9.99
Petrol,2016.0,9.0,6.85
Petrol,2016.0,9.0,6.33
Petrol,2022.0,3.0,61.0
Petrol,2014.0,11.0,6.19
Diesel,2016.0,9.0,32.5
Petrol,2020.0,5.0,80.0
Petrol,2011.0,14.0,2.48
CNG,2013.0,12.0,2.1
Diesel,2016.0,9.0,46.21
Petrol,2013.0,12.0,2.9
Petrol,2022.0,3.0,11.35
Petrol,2014.0,11.0,3.37
Diesel,2018.0,7.0,44.0
Petrol,2017.0,8.0,4.25
Petrol,2019.0,6.0,9.24
Petrol,2012.0,13.0,2.2
Petrol,2020.0,5.0,10.5
Petrol,2018.0,7.0,5.28
Petrol,2021.0,4.0,48.0
Petrol,2020.0,5.0,6.95
Petrol,2016.0,9.0,6.85
Petrol,2016.0,9.0,6.33
Petrol,2022.0,3.0,61.0
Petrol,2014.0,11.0,6.19
Diesel,2016.0,9.0,32.5
Petrol,2020.0,5.0,80.0
Petrol,2011.0,14.0,2.48
CNG,2013.0,12.0,2.1
Diesel,2016.0,9.0,46.21
Petrol,2013.0,12.0,2.9
Petrol,2022.0,3.0,11.35
Petrol,2014.0,11.0,3.37
Diesel,2018.0,7.0,44.0
Petrol,2017.0,8.0,4.25
Petrol,2019.0,6.0,9.24
Petrol,2012.0,13.0,2.2
Petrol,2020.0,5.0,10.5
Petrol,2018.0,7.0,5.28
Petrol,2021.0,4.0,48.0
Petrol,2020.0,5.0,6.95
Petrol,2022.0,3.0,26.5
Petrol,2019.0,6.0,5.23
Petrol,2022.0,3.0,5.75
Petrol,2017.0,8.0,6.92
Diesel,2017.0,8.0,6.95
Petrol,2023.0,2.0,4.0
Petrol,2012.0,13.0,2.67
Petrol,2023.0,2.0,1.47
Petrol,2019.0,6.0,13.25
Petrol,2021.0,4.0,13.37
Petrol,2012.0,13.0,2.7
Petrol,2015.0,10.0,3.26
Diesel,2014.0,11.0,17.75
Petrol,2017.0,8.0,3.95
Petrol,2017.0,8.0,9.31
Petrol,2018.0,7.0,6.0
Petrol,2017.0,8.0,45.75
Petrol,2014.0,11.0,4.92
Petrol,2023.0,2.0,7.5
Diesel,2019.0,6.0,45.0
Petrol,2022.0,3.0,26.5
Petrol,2019.0,6.0,5.23
Petrol,2022.0,3.0,5.75
